sub_id,trial_type,time_looking_at_pref,percentage_looking_at_pref,time_looking_at_alc,percentage_looking_at_alc,time_looking_at_cig,percentage_looking_at_cig,time_looking_at_neu,percentage_looking_at_neu,response_time,last_item_looked_at,last_category_looked_at,time_last_item_looked_at,selected_item,alcohol_pref,cig_pref
cret03,1.0,0.0,0.0,0.0,0.0,759.0,1.0,0.0,0.0,760.273361851,maverick,cigarette,759.0,waterglass,naturallight,maverick
cret03,1.0,0.0,0.0,0.0,0.0,302.0,0.36695018226,0.0,0.0,822.312502029,maverick,cigarette,822.0,naturallight,naturallight,maverick
cret03,4.0,249.0,0.219770520741,249.0,0.219770520741,211.0,0.186231244484,0.0,0.0,1133.66882663,heineken,alcohol,1132.0,heineken,naturallight,maverick
cret03,2.0,396.0,0.248275862069,367.0,0.230094043887,738.0,0.462695924765,396.0,0.248275862069,1594.39019546,selzter,neutral,1594.0,selzter,naturallight,maverick
cret03,1.0,1032.0,0.77072442121,1032.0,0.77072442121,0.0,0.0,0.0,0.0,1339.18603964,naturallight,alcohol,1339.0,naturallight,naturallight,maverick
cret03,3.0,300.0,0.41095890411,300.0,0.41095890411,0.0,0.0,0.0,0.0,729.753172536,naturallight,alcohol,729.0,naturallight,naturallight,maverick
cret03,3.0,330.0,0.183231538034,330.0,0.183231538034,472.0,0.262076624098,428.0,0.23764575236,1801.08042515,waterbottle,neutral,1800.0,naturallight,naturallight,maverick
cret03,3.0,204.0,0.142757172848,204.0,0.142757172848,0.0,0.0,0.0,0.0,1428.99899555,naturallight,alcohol,1428.0,naturallight,naturallight,maverick
cret03,2.0,443.0,0.305096418733,340.0,0.234159779614,443.0,0.305096418733,405.0,0.278925619835,1452.68747821,jackdaniels,alcohol,1222.0,maverick,naturallight,maverick
cret03,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.343723045,none,none,-1.0,naturallight,naturallight,maverick
cret03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.218683651805,941.929907037,selzter,neutral,941.0,maverick,naturallight,maverick
cret03,4.0,85.0,0.108834827145,0.0,0.0,205.0,0.262483994878,85.0,0.108834827145,779.633848972,waterbottle,neutral,780.0,waterbottle,naturallight,maverick
cret03,1.0,10.0,0.00657894736842,375.0,0.246710526316,10.0,0.00657894736842,124.0,0.0815789473684,1519.34812344,waterglass,neutral,1519.0,maverick,naturallight,maverick
cret03,4.0,312.0,0.137142857143,699.0,0.307252747253,970.0,0.426373626374,312.0,0.137142857143,2274.18657363,skyy,alcohol,2274.0,waterbottle,naturallight,maverick
cret03,2.0,736.0,0.433706540955,736.0,0.433706540955,0.0,0.0,596.0,0.351208014143,1697.27629968,heineken,alcohol,1696.0,heineken,naturallight,maverick
